código_venda,código_barras,nome_produto,categoria_produto,preço_produto,status_compra,data_compra,comprador,email_comprador,pais_compra,quantidade_comprada,média_por_categoria,média_por_pais
7bfaf3a6-bf7d-40f9-b0c2-f1ba3d5e0ef2,0488370954893,Bicicleta,Brinquedos,R$639.00,Concluída,2023-12-26,Michelle Howard,luistucker@example.net,Rwanda,6,5.394736842105263,4.8
7922b2d7-c329-44f1-828f-0945cd964d21,9341040704505,Jogo de tabuleiro,Brinquedos,R$119.00,Pendente,2024-06-10,Daniel Jones,katrinarobinson@example.com,Jamaica,6,5.394736842105263,6.25
a8b7b00a-1d39-4a28-a7f9-dafa2faa99f1,5257961767915,Perfume,Beleza,R$665.00,Concluída,2023-12-08,Jerry Woodward,natasha74@example.com,United States Virgin Islands,3,6.027522935779817,4.0
c487635e-d6e9-4125-beeb-be2498f2bf2f,9788822744364,Científico,Livros,R$751.00,Pendente,2024-09-08,Jeffrey Parker,ddean@example.org,New Caledonia,3,5.7560975609756095,5.0
44e13cb0-21db-49f5-924c-47d4cb6d6f08,2183283543179,Frutas,Alimentos,R$824.00,Cancelada,2024-08-20,Caroline Macias,jessica84@example.org,Brazil,10,5.861386138613861,4.714285714285714
1a62421f-9029-4933-ace9-ecf23ebcf346,0107475537243,Aluguel de carro,Viagens,R$325.00,Concluída,2023-12-15,Andrea Eaton,garzastephen@example.net,Holy See (Vatican City State),7,4.885416666666667,6.0
9713d6fc-30c0-49d7-8568-ad8958cdb7bc,4858978469253,Religioso,Livros,R$581.00,Pendente,2024-04-06,Robert Case,antoniomartinez@example.com,Guernsey,10,5.7560975609756095,6.2
209456bb-2e57-426d-94ab-e041bfd9be5a,9117680830009,Barra fixa,Esporte,R$947.00,Pendente,2024-06-22,Becky Chapman,kellyjohnson@example.com,Liberia,2,5.68141592920354,4.714285714285714
c4967401-c313-4023-b18e-42e715ec9dec,0310327374761,Microondas,Casa,R$460.00,Cancelada,2024-04-03,Bryce Phelps,kellyscott@example.com,Micronesia,7,6.032967032967033,5.8
3802bd14-7ad3-4070-94ef-0ca7b2f10a06,4542702894076,Video game,Brinquedos,R$564.00,Pendente,2024-05-29,Brian Macias,martingeoffrey@example.org,Taiwan,4,5.394736842105263,5.4
ef71e2f5-4a9c-4129-81b1-9f4e63ec8757,7542168057821,Protetor bucal,Esporte,R$496.00,Concluída,2023-12-28,Dawn Howard,zsmith@example.org,Belarus,10,5.68141592920354,7.25
e0e54e99-760a-4634-b41d-5317da7853cd,1358282393488,Feijão,Alimentos,R$992.00,Pendente,2024-08-07,Joseph Washington,holdenholly@example.com,Turkey,9,5.861386138613861,9.5
bff5b9f4-a4c1-4eb9-b49f-f49a50d89ee8,9640810518657,Bola de futebol,Esporte,R$275.00,Cancelada,2023-12-13,Robert Howell,austin60@example.org,Qatar,10,5.68141592920354,5.5
c5233a6a-21fd-49b6-9f14-a68c32065545,6818785959796,Console,Eletrônicos,R$174.00,Concluída,2024-05-21,Rick Rivera,scabrera@example.org,Northern Mariana Islands,9,5.326315789473684,5.428571428571429
8e57f360-f9be-4470-9447-1a69bd8b9ca4,0761588950001,Microondas,Casa,R$563.00,Cancelada,2024-03-31,William Vincent,cochransarah@example.net,Portugal,1,6.032967032967033,4.333333333333333
17249dbc-208c-415e-82f7-33d4d5a7e644,1142036849327,Protetor bucal,Esporte,R$811.00,Concluída,2024-06-13,Todd Moody,tina60@example.net,Guernsey,5,5.68141592920354,6.2
c3868b96-7020-4d33-b3c0-5e8d42ceea0a,9144003280531,Câmera,Eletrônicos,R$587.00,Concluída,2024-06-12,Christina Smith,ysmith@example.com,Romania,4,5.326315789473684,5.75
82bd97b6-b6ad-4215-bfb4-0434fc2d235b,3417801173845,Roupa esportiva,Esporte,R$406.00,Concluída,2023-10-18,Katherine Doyle,amandadeleon@example.org,Barbados,6,5.68141592920354,7.0
5dc7c83b-1f42-4f61-b268-584b7f23d98c,8302868726453,Computador,Escritório,R$715.00,Cancelada,2024-10-08,Candice White,djensen@example.com,Senegal,4,5.842592592592593,5.0
cd5e5aa7-fa5c-42da-be15-b6354579ff5a,8219013288448,Macarrão,Alimentos,R$302.00,Concluída,2024-04-18,Carrie Bailey,roberthall@example.net,Saint Vincent and the Grenadines,6,5.861386138613861,6.75
8d8b26a0-1504-4895-b77e-8b871ca1a211,1147456109679,Esmalte,Beleza,R$841.00,Concluída,2024-02-20,Mr. Joshua Wells,garrett51@example.org,Papua New Guinea,10,6.027522935779817,7.666666666666667
5f001a76-9559-4bd2-8e69-2a7ec9506c30,4045361444250,Tônico,Beleza,R$930.00,Pendente,2024-06-17,William Smith,andrewgreen@example.com,Monaco,4,6.027522935779817,6.666666666666667
c6baf0e9-e5cd-4291-a627-d8b4149329b2,2933927716342,História,Livros,R$791.00,Pendente,2024-06-26,Jackie Payne,timothy63@example.com,Thailand,3,5.7560975609756095,4.666666666666667
4c6c4d01-94b6-4345-842d-549fa7e6d14d,1571515676572,Saia,Vestuário,R$659.00,Concluída,2023-10-24,Martha Wang,brittany59@example.net,Gambia,4,5.21978021978022,4.625
5d9e2675-7127-476e-9b3f-4f827ebcf88c,3025723465629,Caderno,Escritório,R$872.00,Pendente,2024-03-05,Brooke Bennett,plove@example.net,Spain,6,5.842592592592593,7.5
68ac944b-2f35-42d1-9c5b-93cc1a22349d,3109124497158,Hidratante,Beleza,R$923.00,Pendente,2024-05-16,James Soto MD,johnsonedward@example.com,Ukraine,4,6.027522935779817,5.5
822a9927-e0a5-4196-91ac-e8068755c907,9584291227441,Chuteira,Esporte,R$637.00,Pendente,2024-04-10,Emily Blanchard,umiranda@example.net,Pakistan,2,5.68141592920354,4.666666666666667
b1f53a69-a6bb-4e37-bcae-2b9d6f662bb1,2267526165929,Seguro viagem,Viagens,R$340.00,Pendente,2023-10-20,Mary Mckenzie,markpena@example.org,Zimbabwe,3,4.885416666666667,4.545454545454546
b93a6f59-4cc8-4b1b-b002-2e95e2df4a52,1412201289976,Lápis,Escritório,R$298.00,Concluída,2024-01-26,Cory Foster,cookjason@example.org,Malawi,7,5.842592592592593,5.444444444444445
c2b2f6de-cd36-4aba-ac6c-ec585e709316,7964071213598,Científico,Livros,R$465.00,Pendente,2023-12-08,Scott Page,toddzavala@example.net,Cuba,4,5.7560975609756095,6.0
211ea34e-4a41-4a84-a44c-cfb2e90f22f1,1019241417699,Tênis de corrida,Esporte,R$307.00,Cancelada,2024-08-01,Emily Fernandez DDS,fsweeney@example.net,British Virgin Islands,5,5.68141592920354,7.0
17e51b71-901d-479e-8663-f0875b7e6aeb,5756225327167,Pão,Alimentos,R$410.00,Cancelada,2023-12-12,Jessica Gardner,ubridges@example.net,Timor-Leste,6,5.861386138613861,5.333333333333333
bad09492-dda4-48be-8f24-4d94ebc6d34c,3978684561278,História,Livros,R$582.00,Cancelada,2023-12-22,Michele Brock,jonathanfrye@example.net,Bhutan,4,5.7560975609756095,4.333333333333333
7226f546-254f-4778-b911-3d9948239136,6162829885825,Grampeador,Escritório,R$737.00,Pendente,2024-06-27,Kathleen Gomez,kathleenfisher@example.org,Togo,10,5.842592592592593,8.0
d2b25311-9684-41f9-922e-9e515783757e,6844411625049,Skate,Esporte,R$487.00,Concluída,2024-06-30,Jessica Morgan,williamssteven@example.org,Montserrat,1,5.68141592920354,4.428571428571429
822586e7-d707-42a0-bd34-db9452e67a6d,3546365307639,Tênis,Vestuário,R$517.00,Cancelada,2023-11-30,Elizabeth Hoover,twarren@example.net,Chad,3,5.21978021978022,5.0
74c6c793-2a06-4920-9142-a5d8cac8fd4d,0642300726756,Pão,Alimentos,R$533.00,Concluída,2024-09-15,Joseph Carey,yyoung@example.net,Greenland,10,5.861386138613861,5.2
5070f81e-50cb-4cf1-90af-fd2317cfd2b5,9600450233433,Carne,Alimentos,R$794.00,Concluída,2024-03-18,Michael Martin,lori30@example.com,Mongolia,6,5.861386138613861,5.25
02a49152-db61-4807-a266-4f417f914223,5948184704619,Lego,Brinquedos,R$687.00,Cancelada,2024-05-17,Kim Murphy,afischer@example.net,Tanzania,1,5.394736842105263,4.75
58a6dd1e-7363-4874-8a62-b47ee707ecc4,3245409156898,Notebook,Eletrônicos,R$609.00,Cancelada,2024-01-26,Lori Bell,garywyatt@example.org,Germany,4,5.326315789473684,3.75
17307fe1-b659-4abc-895d-37fe57e9262f,8059155867725,Hidratante,Beleza,R$710.00,Concluída,2024-03-04,Timothy Coleman,penateresa@example.net,Anguilla,8,6.027522935779817,6.25
030b122c-f897-4d60-a4e1-d5f0807ac95b,1697546840161,Cruzeiro,Viagens,R$297.00,Pendente,2023-12-15,Michael Solis,alexisgarza@example.net,Saint Lucia,2,4.885416666666667,4.125
91f3c601-7629-49e5-95af-02daf3c20a8d,3812107653860,Boneca,Brinquedos,R$685.00,Cancelada,2023-12-05,Benjamin Wright,matthewsbrett@example.com,United Kingdom,5,5.394736842105263,6.333333333333333
9f03d61a-3d11-446c-8e46-7b7198c87978,2911412416373,Hidratante,Beleza,R$344.00,Cancelada,2024-07-30,Edwin Wagner,rachelrodriguez@example.com,Liberia,4,6.027522935779817,4.714285714285714
7189c152-f4ea-4e39-9c51-84c4a5d526f0,4654912037041,Video game,Brinquedos,R$410.00,Cancelada,2024-01-23,Jon Riggs,katelyn73@example.com,Malaysia,8,5.394736842105263,7.5
fb9d8f07-113a-4f00-8778-2e648fbe9edc,1478706732553,Guia de viagem,Viagens,R$347.00,Concluída,2024-01-14,Brandi Peterson,yvonne00@example.com,Lebanon,4,4.885416666666667,7.25
46d4287e-282b-4ae4-aab0-f3db5f4c3134,0023183039599,Boneca,Brinquedos,R$202.00,Concluída,2024-05-23,Michael Medina,nicolejohnson@example.com,Japan,8,5.394736842105263,5.8
a5c43778-1149-43e8-b91e-1b7da5e9b979,8021858268611,Cadeira,Casa,R$909.00,Concluída,2024-07-25,Mr. Colton Parks,amanda78@example.org,Cameroon,7,6.032967032967033,7.2
4ef10821-b26c-451f-a2a3-a2cc8fda159d,9288770826957,Ovos,Alimentos,R$820.00,Concluída,2024-06-24,Logan Mcdowell,randy04@example.org,Cuba,10,5.861386138613861,6.0
5badda81-4624-4248-b7e6-5b257394d13c,6341051335753,Corretivo,Escritório,R$509.00,Pendente,2023-10-18,Deanna James,nancy57@example.net,Colombia,8,5.842592592592593,5.6
4b366da2-e5c4-4d46-b565-24779221c916,4954639463124,Barra fixa,Esporte,R$382.00,Concluída,2024-01-04,Lindsey Thompson,ewinghunter@example.net,Sweden,6,5.68141592920354,4.0
c09de069-ea49-4783-b66d-4ff934518682,0831212960307,Poesia,Livros,R$817.00,Pendente,2024-02-25,Luis Burns,markyork@example.com,American Samoa,10,5.7560975609756095,6.4
1d964f0d-3414-4120-8d37-3f67328ea13b,0441899910153,Carne,Alimentos,R$845.00,Cancelada,2023-12-29,Shannon Luna,ehernandez@example.org,Macao,6,5.861386138613861,6.111111111111111
b496b052-1ae6-43d8-ba73-8c925ac7682c,5709099961012,Smartphone,Eletrônicos,R$975.00,Pendente,2023-12-26,David Thomas,nicholasbriggs@example.org,Netherlands,10,5.326315789473684,6.5
bc79dfea-9a63-4b09-84d1-465d91bb45cc,3061826542782,Sofá,Casa,R$559.00,Concluída,2024-09-12,Michelle Foster,davidreed@example.org,Italy,5,6.032967032967033,6.0
7044f4d2-08a0-4ef3-943c-e58047b1792b,3233419264481,Borracha,Escritório,R$702.00,Pendente,2023-11-18,Samuel Floyd,deborahblack@example.org,Somalia,9,5.842592592592593,5.571428571428571
ebe01a65-636e-4f60-a138-dd6f4f13d3bb,1262253331990,Patinete,Brinquedos,R$435.00,Concluída,2024-03-22,Gregory Weaver,peter37@example.com,Germany,2,5.394736842105263,3.75
38e23004-a0c2-4efb-b1ce-735c6718056e,6383280180537,Sofá,Casa,R$983.00,Concluída,2024-10-01,Thomas Mercado,holmesjaime@example.com,South Georgia and the South Sandwich Islands,4,6.032967032967033,4.333333333333333
fd480ad9-a1b8-455e-ad82-e2737c13a332,5460627479026,Skate,Esporte,R$270.00,Concluída,2024-04-09,Mark Smith,steven55@example.net,Malaysia,9,5.68141592920354,7.5
16c0a59a-3bbe-48a4-bf27-51bf849b03d8,8290340547958,Máscara,Beleza,R$840.00,Concluída,2024-03-31,Rachel Hill,margaret05@example.com,Madagascar,9,6.027522935779817,6.4
d2af2ddb-45e6-4aa6-b061-9d0bc51894c5,1180544242513,Drone,Eletrônicos,R$556.00,Concluída,2024-05-14,David Maldonado,anna33@example.com,Guinea,9,5.326315789473684,7.0
df09ac8c-c0d7-4228-9fe8-0c27218eefba,7836517244179,Liquidificador,Casa,R$321.00,Concluída,2024-01-03,Barbara Campbell,patricia86@example.org,Seychelles,3,6.032967032967033,4.333333333333333
ec482e5c-2fac-469e-904e-e2720cc3b065,7020731116712,Feijão,Alimentos,R$277.00,Concluída,2024-03-01,Evelyn Hayden,nicholas84@example.net,Cote d'Ivoire,4,5.861386138613861,5.8
88e48378-07ae-47d7-84cb-73f7fad0d5b6,8274079847541,Notebook,Eletrônicos,R$883.00,Concluída,2023-11-28,Alexis Yang,ncummings@example.com,Bosnia and Herzegovina,6,5.326315789473684,6.2
1b32682d-238e-4a9c-b7fe-35a24298f6fb,6270909823527,Tesoura,Escritório,R$74.00,Cancelada,2024-09-16,Kevin Norton,marissa63@example.org,Montserrat,1,5.842592592592593,4.428571428571429
956b2576-4df6-4636-bd25-dfb21c1dedec,4719374415780,Drone,Eletrônicos,R$792.00,Cancelada,2024-08-15,Michael Jimenez,sarah62@example.com,Serbia,10,5.326315789473684,6.8
8751ceb7-6a4e-4867-946f-5e8f454d20a9,1551564295207,Hidratante,Beleza,R$445.00,Pendente,2024-08-24,Ann Reed,cclark@example.com,Mauritius,3,6.027522935779817,5.285714285714286
cace2a6e-6e72-48b8-8446-a6e1359b65fa,6311284341036,Fogão,Casa,R$484.00,Cancelada,2024-06-26,Tara Mason,armstrongshawn@example.net,Afghanistan,2,6.032967032967033,4.0
ff83b56d-2e05-4c64-97bc-0aab2e18eca2,8872172390331,Tênis,Vestuário,R$801.00,Cancelada,2024-07-14,Michael Lewis,janetchavez@example.net,Saint Barthelemy,6,5.21978021978022,7.666666666666667
97e4ab81-705e-488c-9474-95c178209fa9,9310674321570,Aspirador de Pó,Casa,R$12.00,Pendente,2024-06-18,Jason Castro,jill87@example.net,Turks and Caicos Islands,7,6.032967032967033,6.6
e8d92a3b-508e-47c1-8c77-021e669fd7f3,2269628956214,Cintos,Vestuário,R$948.00,Pendente,2024-07-26,Kimberly Morgan,michelle09@example.net,Rwanda,3,5.21978021978022,4.8
9652ce47-9f85-4c7d-b3a9-235651d5c71c,3635095783759,Aspirador de Pó,Casa,R$779.00,Cancelada,2024-07-22,Taylor Garcia,jessica76@example.com,Israel,5,6.032967032967033,3.5
ab0d5a44-db6d-42fb-bb89-da8f2c873489,8421364865005,Aparelho de musculação,Esporte,R$740.00,Concluída,2024-06-29,Stephen Cardenas,spearsjoel@example.org,Nepal,9,5.68141592920354,5.571428571428571
04178e1a-3d81-406b-a040-2f0d4ab7de2c,3915271299909,Calça,Vestuário,R$342.00,Cancelada,2023-10-21,Raymond White,matthew51@example.org,Reunion,1,5.21978021978022,4.5
419432c1-8519-4fdc-93d1-20771312d609,9371226972787,Video game,Brinquedos,R$356.00,Concluída,2024-07-23,Richard Farrell,shelley38@example.net,Saint Barthelemy,10,5.394736842105263,7.666666666666667
ea15f151-df00-46e3-86fe-519a4b27ece4,0607919092616,Protetor bucal,Esporte,R$117.00,Cancelada,2024-08-16,Jamie Smith,michaelmurphy@example.net,Bermuda,2,5.68141592920354,5.8
f992a82b-00c6-4fff-bbd6-10c7d528fdac,8837435327134,Calça,Vestuário,R$582.00,Pendente,2023-12-06,Jonathan Mora,rossdiane@example.net,Cape Verde,1,5.21978021978022,4.5
1515a415-abad-4828-88d2-87c02383992e,1897314639021,Carne,Alimentos,R$81.00,Concluída,2024-01-15,Colton Carr,williamsriley@example.org,Seychelles,2,5.861386138613861,4.333333333333333
9a488505-560a-4d8d-b937-fe34b88d3fc4,1811590059229,Cruzeiro,Viagens,R$774.00,Pendente,2024-09-24,Bryan Bradley,taylormary@example.net,Qatar,1,4.885416666666667,5.5
a81a91be-1c00-41fe-ab3d-218a27d90cf0,3788635760984,Tênis,Vestuário,R$197.00,Concluída,2024-05-26,Jeremiah Clark,fperez@example.org,Moldova,8,5.21978021978022,6.555555555555555
7b339bc9-b488-4569-ac40-d4675835f506,1922273068237,Esmalte,Beleza,R$767.00,Concluída,2023-10-27,Vicki Daniels,gardneremma@example.com,Finland,7,6.027522935779817,6.5
